"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What is a random variable?,A numerical outcome of random behavior,A fixed constant,A letter of the alphabet,A probability value,20,1
2,Random variables are labeled with which type of letters?,Capital letters (X Y W),Lowercase letters (x y w),Greek letters (α β γ),Roman numerals (I II III),20,1
3,Which symbol represents a random variable?,X,p,n,μ,20,1
4,A random variable assigns what to outcomes of a random process?,Numerical values,Letter grades,Colors,Rankings,20,1
5,What does X represent in probability notation?,A random variable,The x-axis,An unknown constant,A sample size,20,1
6,Why do we use capital letters for random variables?,To distinguish variables from specific values,Because lowercase is for Greek letters,It is just a tradition with no meaning,To indicate large numbers,20,1
7,If X = number of heads when flipping 3 coins then X is a...,Random variable,Constant,Parameter,Sample,20,1
8,What makes a variable a random variable?,Its value is determined by chance,Its value is always unknown,Its value changes over time,Its value is very large,20,1
9,A discrete random variable has values that are...,Countable with gaps between them,Any value in an interval,Always whole numbers only,Impossible to list,20,1
10,Which is an example of a discrete random variable?,Number of students absent today,Height of a randomly selected tree,Time to complete a test,Temperature at noon,20,1
11,A continuous random variable can take...,Infinitely many values in an interval,Only whole number values,Only positive values,Exactly 10 different values,20,1
12,Which is a continuous random variable?,Time to run a marathon,Number of cars in a parking lot,Number of pets owned,Number of text messages sent,20,1
13,Number of siblings a person has is what type of variable?,Discrete,Continuous,Categorical,Constant,20,1
14,Weight of a newborn baby is what type of variable?,Continuous,Discrete,Categorical,Constant,20,1
15,Which is discrete: time to finish homework or number of problems correct?,Number of problems correct,Time to finish homework,Both are discrete,Neither is discrete,20,1
16,Why is the number of children in a family discrete?,You cannot have 2.5 children,Children are always small,Families are countable,Numbers are discrete,20,1
17,Distance traveled by a car is what type of variable?,Continuous,Discrete,Neither,Both,20,1
18,Number of red cards drawn from a deck is...,Discrete,Continuous,Categorical,Constant,20,1
19,Which cannot be a continuous random variable?,Number of correct answers on a quiz,Amount of rainfall in inches,Speed of a car,Length of a phone call,20,1
20,The amount of time waiting in line is...,Continuous,Discrete,Neither continuous nor discrete,Always exactly 5 minutes,20,1
21,What is a probability distribution?,A table or graph showing all values with their probabilities,A single probability value,The mean of a dataset,A random sample,20,1
22,In a valid probability distribution all probabilities must be...,Between 0 and 1 inclusive,Greater than 0,Equal to each other,Greater than 0.5,20,1
23,The sum of all probabilities in a distribution must equal...,1,0,100,The sample size,20,1
24,If P(X=1)=0.3 and P(X=2)=0.5 and P(X=3)=0.2 is this a valid distribution?,Yes because probabilities sum to 1,No because 0.3 is too small,No because there are only 3 values,Yes because all values are different,20,1
25,Which is NOT a requirement for a probability distribution?,Probabilities must be equal,All probabilities between 0 and 1,Probabilities sum to 1,Every outcome has a probability,20,1
26,If probabilities sum to 0.95 then the distribution is...,Invalid,Valid,Approximately valid,Continuous,20,1
27,A probability of -0.2 in a distribution means...,The distribution is invalid,The event is impossible,The event is certain,The value is negative,20,1
