"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does it mean for events A and B to be INDEPENDENT?","Knowing A occurred does not change the probability of B","Events A and B cannot occur at the same time","Events A and B always occur together","Events A and B have the same probability",20,1,,,,,,,,,,,,,,,,,,
2,"If knowing whether event A occurred does NOT change the probability of event B, the events are called:","Mutually Exclusive","Complementary","Independent","Conditional",20,3,,,,,,,,,,,,,,,,,,
3,"For independent events, P(A|B) equals:","P(A) - the unconditional probability of A","P(B) - the unconditional probability of B","P(A and B) - the joint probability","Zero - independent events don't overlap",20,1,,,,,,,,,,,,,,,,,,
4,"If events are independent, then P(B|A) equals:","P(A)","P(B)","P(A and B)","P(A or B)",20,2,,,,,,,,,,,,,,,,,,
5,"What is the MULTIPLICATION RULE for independent events?","P(A and B) = P(A) times P(B)","P(A and B) = P(A) plus P(B)","P(A and B) = P(A) minus P(B)","P(A and B) = P(A) divided by P(B)",20,1,,,,,,,,,,,,,,,,,,
6,"P(A and B) = P(A) times P(B) is ONLY valid when events are:","Mutually exclusive","Independent","Complementary","Conditional",20,2,,,,,,,,,,,,,,,,,,
7,"Selecting a marble WITH REPLACEMENT makes successive selections:","Dependent - probabilities change each draw","Independent - probabilities stay the same","Mutually exclusive - can't select same marble","Complementary - outcomes add to one",20,2,,,,,,,,,,,,,,,,,,
8,"Why does replacement make events independent?","The probabilities remain unchanged between selections","The sample space gets smaller each time","The outcomes become mutually exclusive","The events become complementary",20,1,,,,,,,,,,,,,,,,,,
9,"If P(red) = 0.4 for each draw with replacement, P(red AND red) equals:","0.4 times 0.4 = 0.16","0.4 plus 0.4 = 0.80","0.4 minus 0.4 = 0.00","0.4 divided by 0.4 = 1.0",20,1,,,,,,,,,,,,,,,,,,
10,"P(red, red, not red, not red) with P(red)=0.4 equals:","0.4 times 0.4 times 0.6 times 0.6 = 0.0576","0.4 plus 0.4 plus 0.6 plus 0.6 = 2.0","0.4 times 0.6 = 0.24","0.4 plus 0.6 = 1.0",20,1,,,,,,,,,,,,,,,,,,
11,"To find P(at least one success), we typically use the:","Complement rule: 1 minus P(no successes)","Addition rule: P(A) plus P(B)","Multiplication rule: P(A) times P(B)","Conditional rule: P(A|B)",20,1,,,,,,,,,,,,,,,,,,
12,"P(at least one red in 10 draws) equals:","1 minus P(no red in all 10 draws)","P(red) raised to the 10th power","10 times P(red)","P(red) plus P(red) ten times",20,1,,,,,,,,,,,,,,,,,,
