feature_id	area	feature	role	user_story	expected_behavior	code_evidence	test_evidence	test_status	observed_errors	fix_status	retest_status	last_checked
F001	Landing	Site entry navigation	Student/teacher	As a visitor, I want the home page to route me to the right course surface so I can start from the correct app.	index.html presents Start Here and Open The Desk primary actions, student cards for Desk, Start Here, worksheets, diagnostic guide, TI-84 trainer, external equation trainer, and teacher links for dashboard, classroom cockpit, and code generator.	index.html	tests/roadmap-resilience.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F002	Start Here	Orientation and course expectations	Student/guardian	As a new student, I want a readable orientation so I understand mastery grading, lesson flow, and expectations before using the Desk.	start-here.html explains course promises, daily lesson flow, progress checks, work categories, minimum participation cap, lesson tile workflow, and AI tutor prompt support.	start-here.html	tests/remaining-feature-contracts.test.js (6/6)	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.	None found in focused remaining-feature contract test.	No code fix required; behavior pinned by automated coverage.	Passed focused retest and full root suite post-fix.	2026-06-22
F003	Start Here	Grade playground	Student/guardian	As a student, I want to model grade outcomes so I understand how progress checks and work combine.	The playground exposes Quick toy and real Q1 tabs, keyboard-accessible tab switching, sliders, preset buttons, real grade inputs, null-safe work averages, minimum-side cap logic, and formatted percentage outputs.	start-here.html	tests/grade-playground.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F004	Start Here	Signed-in progress preview	Student	As a signed-in student, I want Start Here to show my quarter and unit progress so I can orient myself before opening the Desk.	On DOM ready, Start Here uses rosterClient.token and ROSTER_SERVICE_URL to fetch grade/rollup data, rendering signed-out fallback if identity or service config is unavailable.	start-here.html; roster-client.js	tests/remaining-feature-contracts.test.js (6/6)	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.	None found in focused remaining-feature contract test.	No code fix required; behavior pinned by automated coverage.	Passed focused retest and full root suite post-fix.	2026-06-22
F005	Roster identity	Student sign-in session	Student	As a student, I want to sign in once and have the Desk, worksheets, trainer, wallet, and gradebook know who I am.	rosterClient.signIn posts to /roster/verify, persists studentId, username, realName, section, role, token, spriteHue, mustChangePassword, and exposes current, studentId, token, and signOut helpers that never throw.	roster-client.js; roster-server/server.js	tests/roster-client.test.js; roster-server/tests/auth.test.js	Failed initial automated loop; passed targeted retest and full post-fix suites.	Root/server initial failures: _deskAccessGranted granted access in an isolated guard when _deskGuestOk was missing; updateUserRoleUI init call was too far from loadRegistry for the persisted-role contract; bcrypt-heavy roster-server auth tests (brute-force lockout, change-password) timed out at the 5s default under the full parallel run.	Guarded the guest helper and moved updateUserRoleUI immediately after loadRegistry; added roster-server/vitest.config.js with a suite-global testTimeout (15s) so every bcrypt-heavy test has crypto headroom (supersedes an earlier per-test bump that had landed on the wrong it()).	Passed: targeted root role/sign-in tests, roster-server auth + signup-claim tests, full root and full server suites green (reproducible, not load-dependent).	2026-06-22
F006	Roster identity	Password change gate	Student	As a student with a temporary password, I want to change it from the app so my account is usable and secure.	rosterClient.changePassword requires a stored token, posts /roster/change-password, clears mustChangePassword locally on success, and returns ok/error without throwing.	roster-client.js; roster-server/server.js	roster-server/tests/auth.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F007	Roster identity	Self signup and username claim	Student	As a joining student, I want to claim a generated username and section without seeing private period names.	rosterClient.openSections fetches public section labels; claim posts realName, section, username, pin, optional teacherKey, persists a session on success, and reports username-taken for reroll/retry UX.	roster-client.js; roster-server/server.js	tests/desk-self-signup.test.js; roster-server/tests/signup-claim.test.js	Failed initial automated loop; passed targeted retest and full post-fix suites.	Root initial failures: sign-in modal lacked direct _switchToSignUp cross-link; first-time fallback branch text was missing while Name Finder remained primary.	Fixed sign-in create-account escape and first-time fallback branch while preserving Name Finder as primary when available.	Passed: tests/desk-self-signup.test.js, tests/desk-signin-wall.test.js, full root 7424/7424.	2026-06-22
F008	Roster identity	Sprite hue identity	Student	As a student, I want my avatar color choice to persist across Desk and classroom surfaces.	rosterClient.updateSpriteHue updates persisted session hue; server exposes GET/PATCH /roster/:studentId/sprite-hue; classroom and Desk read spriteHue for avatar rendering.	roster-client.js; roster-server/server.js; classroom-board.js	tests/desk-menu-sprite-hue.test.js; roster-server/tests/sprite-hue.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F009	Desk shell	Desktop app launch and window management	Student	As a Desk user, I want icons to open, minimize, restore, and maximize app windows without losing context.	The Desk has draggable app icons, openApp/destroyApp/minimizeApp/toggleMaximize, usage-based arrangement, selected icon state, context menu open/new-tab options, and app iframe URL resolution.	ap_stats_roadmap_square_mode.html	tests/desk-modal-polish.test.js; tests/desk-modal-escape.test.js; tests/desk-avatar-menu.test.js	Failed initial automated loop; passed targeted retest and full post-fix suites.	Root initial failure: app icon PNG/emoji regression test still expected the older five-icon desktop after the Desk intentionally reduced visible desktop icons.	Updated test contract to current lean desktop while retaining PNG-or-emoji fallback checks.	Passed: tests/desk-gating-fixes.test.js and full root 7424/7424.	2026-06-22
F010	Desk shell	View menu and dialogs	Student	As a Desk user, I want menu commands and dialogs to give clear feedback without breaking the app.	wsx.js updates menu state, shows modal dialogs with icon/message/button/sound, closes dialogs, and wires Escape behavior for modals.	ap_stats_roadmap_square_mode.html	tests/desk-modal-escape.test.js; tests/desk-modal-polish.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F011	Desk roadmap	Calendar and lesson map	Student	As a student, I want the Desk roadmap/calendar to show today, upcoming lessons, locked lessons, completed work, and schedule context.	The roadmap renders unit-colored cells, state legend, today/up-next/done/locked markers, date math, tooltip details, calendar stepping, live indicator, and lesson focus helpers.	ap_stats_roadmap_square_mode.html	tests/desk-calendar-sync.test.js; tests/desk-summer-calendar.test.js; tests/schedule.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F012	Desk roadmap	Lesson tile links	Student	As a student, I want each lesson tile to open the lesson video worksheet, quiz, and related practice from one place.	The Desk maps lesson/unit data to video follow-along pages, work manifest items, quiz/blooket links, and openApp/app URL behavior.	ap_stats_roadmap_square_mode.html; data/work-manifest.json	tests/desk-video-availability.test.js; tests/work-manifest.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
