"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"To 'interpret' a confidence interval for a population proportion, you must:","State the confidence level and describe the interval as capturing the parameter in context","Calculate the margin of error by subtracting the lower bound from the upper bound","Verify that the three required conditions for inference have all been fully satisfied","Convert the interval endpoints into counts by multiplying each one by the population size",25,1,,,,,,,,,,,,,,,,,,
2,"Which interpretation of a 95% CI of (0.31, 0.47) for a population proportion is correct?","We are 95% confident that the interval from 0.31 to 0.47 captures the population proportion","There is a 95% probability that the true population proportion falls between 0.31 and 0.47","Exactly 95% of all individuals in the population have a value between 0.31 and 0.47","The sample proportion is 95% likely to change by no more than 0.08 in repeated samples",25,1,,,,,,,,,,,,,,,,,,
3,"The phrase 'We are 95% confident' in a confidence interval interpretation refers to:","The long-run capture rate of the method — about 95% of such intervals would contain the parameter","The probability that this one specific calculated interval successfully contains the true parameter","The percentage of individuals in the sample who actually have the characteristic being studied","The likelihood that a future sample would produce a proportion within this exact same interval",25,1,,,,,,,,,,,,,,,,,,
4,"Once a specific confidence interval has been calculated, that interval captures the true proportion:","With probability 1 if the parameter is inside the interval, or probability 0 if it is not","With probability 0.95 if a 95% confidence level was used to construct the interval","With an unknown probability that depends on whether the conditions were properly met","With probability 0.50 since it either captures the parameter or it does not capture it",25,1,,,,,,,,,,,,,,,,,,
5,"In repeated random sampling with the same sample size, approximately 95% of 95% CIs will:","Capture the true population proportion, though any single interval may or may not succeed","Produce identical lower and upper bounds because the sampling method stays the same","Have margin of error values that fall within 5% of the first interval that was calculated","Contain the sample proportion that was observed in the original sample from the study",25,1,,,,,,,,,,,,,,,,,,
6,"Which of the following is a common misconception about confidence intervals?","There is a 95% probability that the true proportion is located within this particular interval","About 95% of intervals constructed from repeated samples will capture the true parameter","Any individual confidence interval either contains the true population proportion or it does not","The confidence level describes the long-run success rate of the confidence interval procedure",25,1,,,,,,,,,,,,,,,,,,
7,"A proper confidence interval interpretation must reference the specific population because:","The interval estimates a real-world quantity about a specific group, not just an abstract number","The AP exam formula sheet requires a population name to determine which formula applies here","Intervals that do not mention a population will always produce margins of error that are too large","The numerical value of the confidence level changes depending on which population is described",25,1,,,,,,,,,,,,,,,,,,
8,"A student writes: '95% of students in our sample scored between 0.62 and 0.78.' This is:","Incorrect — a CI estimates a population parameter, not the range of individual sample values","Correct — this is the standard template for interpreting a confidence interval for a proportion","Incorrect — the percentage should be stated as 5% rather than 95% based on the significance level","Correct — but only if the Large Counts condition has been properly verified using calculations",25,1,,,,,,,,,,,,,,,,,,
9,"After calculating a 90% CI, a student says 'there is a 90% chance our interval got it right.' This is:","Incorrect — the interval either contains the parameter or it does not; 90% is the long-run rate","Correct — this is a reasonable informal interpretation of what the 90% confidence level means","Incorrect — the correct probability should actually be stated as 10% rather than 90% for this","Correct — but only when the sample was selected using a properly randomized sampling method",25,1,,,,,,,,,,,,,,,,,,
