"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"The sample space is the collection of all possible outcomes. TRUE or FALSE?","TRUE","FALSE","Only for coins","Only for dice",20,1,,,,,,,,,,,,,,,,,,
2,"The sample space includes only the most likely outcomes. TRUE or FALSE?","TRUE","FALSE","Sometimes true","Depends on context",20,2,,,,,,,,,,,,,,,,,,
3,"Which letter typically represents the sample space?","P","S","E","X",20,2,,,,,,,,,,,,,,,,,,
4,"Which letter typically represents probability?","P","S","E","X",20,1,,,,,,,,,,,,,,,,,,
5,"Flipping a coin has sample space S = {H, T}. How many outcomes?","One","Two","Three","Four",20,2,,,,,,,,,,,,,,,,,,
6,"Flipping TWO coins has how many outcomes in the sample space?","Two","Three","Four","Six",20,3,,,,,,,,,,,,,,,,,,
7,"Rolling one die has how many outcomes in sample space?","Two","Four","Six","Twelve",20,3,,,,,,,,,,,,,,,,,,
8,"Rolling TWO dice has how many outcomes in sample space?","Six","Twelve","Thirty-six","Seventy-two",20,3,,,,,,,,,,,,,,,,,,
9,"Why does rolling two dice give 36 outcomes, not 12?","We add: 6 + 6 = 12","We multiply: 6 × 6 = 36","We subtract: 12 - 6 = 6","We divide: 12 ÷ 2 = 6",20,2,,,,,,,,,,,,,,,,,,
10,"P(A) = outcomes in A divided by total outcomes. TRUE or FALSE?","TRUE","FALSE","Only for large samples","Only for small samples",20,1,,,,,,,,,,,,,,,,,,
11,"P(A) = total outcomes divided by outcomes in A. TRUE or FALSE?","TRUE","FALSE","Only for complements","Only for intersections",20,2,,,,,,,,,,,,,,,,,,
12,"Which of these values could be a probability?","0.75","1.25","-0.25","1.5",20,1,,,,,,,,,,,,,,,,,,
15,"A probability of 0 means the event is:","Certain to occur","Impossible to occur","Equally likely","Very unlikely",20,2,,,,,,,,,,,,,,,,,,
16,"A probability of 1 means the event is:","Certain to occur","Impossible to occur","Equally likely","Very unlikely",20,1,,,,,,,,,,,,,,,,,,
18,"The complement of A is the event that A occurs. TRUE or FALSE?","TRUE","FALSE","Only sometimes","Depends on A",20,2,,,,,,,,,,,,,,,,,,
19,"The complement of A is the event that A does NOT occur. TRUE or FALSE?","TRUE","FALSE","Only for rare events","Only for certain events",20,1,,,,,,,,,,,,,,,,,,
21,"P(A') = 1 − P(A). TRUE or FALSE?","TRUE","FALSE","Only for independent events","Only for dependent events",20,1,,,,,,,,,,,,,,,,,,
22,"If P(rain) = 0.30, what is P(no rain)?","0.30","0.70","1.30","0.03",20,2,,,,,,,,,,,,,,,,,,
23,"If P(A) = 0.45, what is P(A')?","0.45","0.55","1.45","0.90",20,2,,,,,,,,,,,,,,,,,,
24,"If P(A') = 0.80, what is P(A)?","0.80","0.20","1.80","0.08",20,2,,,,,,,,,,,,,,,,,,
26,"Mutually exclusive events CANNOT occur at the same time. TRUE or FALSE?","TRUE","FALSE","Only in small samples","Only in large samples",20,1,,,,,,,,,,,,,,,,,,
27,"Another term for mutually exclusive is:","Independent","Disjoint","Conditional","Complementary",20,2,,,,,,,,,,,,,,,,,,
28,"'Disjoint' means the same as:","Independent","Mutually exclusive","Conditional","Complementary",20,2,,,,,,,,,,,,,,,,,,
29,"If A and B are mutually exclusive, P(A ∩ B) equals:","Zero","One","P(A) + P(B)","P(A) × P(B)",20,1,,,,,,,,,,,,,,,,,,
30,"If P(A ∩ B) = 0, then A and B are:","Independent","Mutually exclusive","Conditional","Complementary",20,2,,,,,,,,,,,,,,,,,,
31,"If P(A ∩ B) = 0.15, A and B are mutually exclusive. TRUE or FALSE?","TRUE","FALSE","Need more information","Depends on sample size",20,2,,,,,,,,,,,,,,,,,,
33,"The symbol ∩ means:","A or B (union)","A and B (intersection)","Not A (complement)","B given A (conditional)",20,2,,,,,,,,,,,,,,,,,,
34,"The intersection of A and B means:","Either A or B occurs","Both A and B occur","Neither A nor B occurs","Only A occurs, not B",20,2,,,,,,,,,,,,,,,,,,
35,"P(A ∩ B) is called the:","Marginal probability","Joint probability","Conditional probability","Complement probability",20,2,,,,,,,,,,,,,,,,,,
36,"Joint probability refers to:","P(A) alone","P(A ∩ B) together","P(A') complement","P(B|A) conditional",20,2,,,,,,,,,,,,,,,,,,
37,"Being a freshman AND a sophomore simultaneously is:","Possible","Impossible","Unlikely","Certain",20,2,,,,,,,,,,,,,,,,,,
38,"'Freshman' and 'Sophomore' are mutually exclusive. TRUE or FALSE?","TRUE","FALSE","Only at some schools","Depends on credits",20,1,,,,,,,,,,,,,,,,,,
39,"Liking math AND being a freshman is:","Possible","Impossible","Always true","Always false",20,1,,,,,,,,,,,,,,,,,,
