old_id,old_label,status,new_id,new_topic_name,note,video_file
1.1,"Topic 1.1",KEEP,1.1,"What Can We Learn from Data?","","media/1-1__0__1wEbNmDM4KBUWvvoRoQIgIYKYWxG3x6Cv.mp4"
1.2,"Topic 1.2",KEEP,1.2,"Variables","","media/1-2__0__1cJ3a5DSlZ0w3vta901HVyADfQ-qKVQcD.mp4"
1.3,"Topic 1.3",KEEP,1.3,"Tables & Summary Stats (1 categorical)","","media/1-3__0__1F9_jLryrjHyXUN21eZmNHrTIGATBhhDw.mp4"
1.4,"Topic 1.4",KEEP,1.4,"Graphs (1 categorical)","","media/1-4__0__1vo3zsZu4wZAAkf-fPTuCmKXudgs0Gnl4.mp4"
1.5,"Topic 1.5",KEEP,1.5,"Graphs (1 quantitative)","","media/1-5__0__1jlopxNducZRaqXtU9c2NvXxq_tGK90ue.mp4"
1.6,"Topic 1.6",KEEP,1.6,"Describing 1-quant distributions","","media/1-6__0__1oWGqzk4meQ6HuXE-mTDHMStp-qOGDUZJ.mp4"
1.7,"Topic 1.7",KEEP,1.7,"Summary stats (1 quant)","","media/1-7__0__1JpzXso3aZ8P8MXQ8b8f1kpjlq_ciaQCK.mp4"
1.8,"Topic 1.8",KEEP,1.8,"Graphs of summary stats","","media/1-8__0__1sKc6XpjX5RUjGv5wbjUl7R1QEYLXG6W8.mp4"
1.9,"Topic 1.9",KEEP,1.9,"Comparing distributions","","media/1-9__0__1zUev1tHzgJLMi337FjuxY49siAJJf_w8.mp4"
1.10,"Topic 1.10",KEEP,2.11,"The Normal Distribution","Normal Dist. moved to Unit 2","media/1-10__0__1vTOitP631CGaZJMJjE6VVw53kiOa0zGv.mp4"
2.1,"Topic 2.1",KEEP,2.1,"Two categorical vars: tables/graphs","intro folded","media/2-1__0__1epQNhpTqA0qMv8ceTpH5IagjDDUlOPC0.mp4"
2.2,"Topic 2.2",KEEP,2.1,"Two categorical vars: tables/graphs","","media/2-2__0__170yFl1LoVYwYZ8a6coNhfQkfkFiHD1gg.mp4"
2.3,"Topic 2.3",KEEP,2.2,"Two categorical vars: summary stats","","media/2-3__0__1IZIAXWtHsQfr1o7GZIJ2nnYXaQZt6Xyh.mp4"
2.4,"Topic 2.4",KEEP,5.1,"Graphs of two quant vars","","media/2-4__0__1RCEtVGX87UjgbneQqQKc5rNYhAQb4jPS.mp4"
2.5,"Topic 2.5",KEEP,5.2,"Correlation","","media/2-5__0__1UnF2HFBgzzgj7M7_SIxhzJxrWiQQ7Itm.mp4"
2.6,"Topic 2.6",KEEP,5.3,"Linear Regression Models","","media/2-6__0__1O_VPIl1W7TNAOi2wWNs0Uphbw11Mlagj.mp4"
2.7,"Topic 2.7",KEEP,5.4,"Residuals","","media/2-7__0__1bk2KcUGXtM_uqBiv4IHwiXImazzX8S0k.mp4"
2.8,"Topic 2.8",KEEP,5.5,"Least-Squares Regression","","media/2-8__0__1_rLSLHvicUEZYr0YJ49e4rn5ezLP6cGX.mp4"
2.9,"Topic 2.9",BONUS,,"","regression diagnostics / departures from linearity","media/2-9__0__19OKlAS6U2MyiT0E3LMsR8Hxu9LHWt78Q.mp4"
3.1,"Topic 3.1",KEEP,1.10,"Investigative Q & Data Collection","collecting-data folds into Unit 1","media/3-1__0__1TvZluuFXhx8theWMpU0hSs19vvP39Vua.mp4"
3.2,"Topic 3.2",KEEP,1.10,"Investigative Q & Data Collection","","media/3-2__0__121AAheYGEysRFC58l3KVJVkBVJmPo--U.mp4"
3.3,"Topic 3.3",KEEP,1.11,"Random Sampling","","media/3-3__0__1ogJAzU5hvGomK2eZGCkMza7EOpU67BaT.mp4"
3.4,"Topic 3.4",KEEP,1.12,"Problems with Sampling","","media/3-4__0__1o3YuZt7Kai5qovHysWo4vaXlHp3WXtc9.mp4"
3.5,"Topic 3.5",KEEP,1.13,"Experimental Design","","media/3-5__0__1PVA-SIVNccjFYexZsUrHbdCps1wlKeBl.mp4"
3.6,"Topic 3.6",KEEP,1.13,"Experimental Design","","media/3-6__0__14I05d33AzFvCrjTAFSxtAlPiFLEuspZK.mp4"
3.7,"Topic 3.7",KEEP,1.13,"Experimental Design","Inference&Experiments folded (light verify)","media/3-7__0__10TnxIb09QzsRvYQm-G3eiWQ5CSrELuJz.mp4"
4.1,"Topic 4.1",KEEP,2.3,"Estimating probabilities (simulation)","intro folded","media/4-1__0__1lNfQZIrnUbG6JkCzw4wB-kcYNHpckwc-.mp4"
4.2,"Topic 4.2",KEEP,2.3,"Estimating probabilities (simulation)","","media/4-2__0__1qdvG72sMnfrQAavaoLV7x4wa1o_uE5Eh.mp4"
4.3,"Topic 4.3",KEEP,2.4,"Intro to Probability","","media/4-3__0__1eAYcRNceHy01t7bmARB3vtTDZnNNqmOV.mp4"
4.4,"Topic 4.4",KEEP,2.5,"Mutually Exclusive Events","","media/4-4__0__1TRJBAVaIbAWWLREvsDgRCxf0sNcFkpxf.mp4"
4.5,"Topic 4.5",KEEP,2.6,"Conditional Probability","","media/4-5__0__1fpXLiPwBKO3kqppTWm4FpqjCcHX3Qf84.mp4"
4.6,"Topic 4.6",KEEP,2.7,"Independent Events & Unions","","media/4-6__0__1TwLZF8dM35fcduBwRzmQUWgSTCynk5tV.mp4"
4.7,"Topic 4.7",KEEP,2.8,"Intro to Random Variables","","media/4-7__0__1UgJNPPVuG8ZGUobUD-KfM_EQz9AKfgAX.mp4"
