"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is a randomized block design?","Subjects are grouped into blocks by a similar characteristic, then randomly assigned to treatments within each block","All subjects are randomly assigned to treatments with no grouping","Subjects choose which treatment group to join","The largest block is always given the new treatment",20,1,,,,,,,,,,,,,,,,,,
2,"Why do researchers use blocking in an experiment?","To increase the number of treatments","To reduce variability in the response from a known variable so treatment effects show up more clearly","To guarantee the sample is a census of the population","To remove the need for a control group",20,2,,,,,,,,,,,,,,,,,,
3,"In a randomized block design, random assignment to treatments happens...","across the entire group all at once","only within the control group","separately within each block","before the blocks are formed",20,3,,,,,,,,,,,,,,,,,,
4,"How does a completely randomized design differ from a block design?","It never uses random assignment","It always uses matched pairs","It requires a double-blind protocol","It randomly assigns all experimental units to treatments without first grouping them",20,4,,,,,,,,,,,,,,,,,,
5,"What is a matched pairs design?","A special case of blocking using pairs of similar units (or one unit under both treatments), one treatment per member","A design that uses no randomization","An observational study of twins","Two unrelated groups each measured once",20,1,,,,,,,,,,,,,,,,,,
6,"Which is a valid way to run a matched pairs design?","Let subjects pick their own treatment","Have each subject receive both treatments in a random order","Compare two completely separate large samples","Give every subject the same single treatment",20,2,,,,,,,,,,,,,,,,,,
7,"What does blinding mean in an experiment?","Data are collected without randomization","The response variable cannot be measured","Subjects and/or those measuring the response are unaware of which treatment was assigned","The experiment has no control group",20,3,,,,,,,,,,,,,,,,,,
8,"An experiment is double-blind when...","the study is repeated twice","the sample size is doubled","exactly two treatments are compared","both the subjects AND the people measuring the response are unaware of who got which treatment",20,4,,,,,,,,,,,,,,,,,,
9,"Blinding is used mainly to...","reduce bias from the placebo effect or from those assessing the response","increase the number of blocks","create a confounding variable","make the sample larger",20,1,,,,,,,,,,,,,,,,,,
10,"Proper replication in an experiment requires that...","each subject receive every treatment","multiple experimental units receive the same treatment","the random assignment be repeated","the study be published twice",20,2,,,,,,,,,,,,,,,,,,
11,"The main purpose of replication is to...","guarantee cause and effect","block on every possible variable","reduce the effect of chance and natural variability so real treatment differences are detectable","remove the need for a control group",20,3,,,,,,,,,,,,,,,,,,
12,"A confounding variable is one that...","is always removed by blocking","only appears in observational studies","is identical to the response variable","is mixed up with a treatment so its effect cannot be separated from the treatment's effect",20,4,,,,,,,,,,,,,,,,,,
13,"In the tractor/plots example, if one treatment were always applied to plots with the same soil type, then soil type would be...","a confounding variable","a control","the response variable","a block",20,1,,,,,,,,,,,,,,,,,,
14,"Which three principles are central to a well-designed experiment?","Correlation, causation, and confounding","Control, randomization, and replication","Blinding, blocking, and bias","Sampling, surveying, and censusing",20,2,,,,,,,,,,,,,,,,,,
15,"You should choose to block on a variable when...","you cannot randomly assign treatments","it is unrelated to the response","it is expected to affect the response, so grouping similar units reduces unwanted variability","you want to increase confounding",20,3,,,,,,,,,,,,,,,,,,
16,"The role of random assignment in an experiment is to...","guarantee the results generalize to everyone","eliminate the need for replication","make the sample representative of the population","create roughly equivalent treatment groups so confounding variables are balanced out",20,4,,,,,,,,,,,,,,,,,,
17,"""Statistically significant"" means an observed difference is...","too large to be reasonably attributed to chance alone","exactly zero","always due to a lurking variable","caused by a confounding variable",20,1,,,,,,,,,,,,,,,,,,
18,"Statistical inference is...","blinding the subjects","using sample data to draw conclusions about a population or treatment","repeating an experiment many times","assigning treatments at random",20,2,,,,,,,,,,,,,,,,,,
19,"In the resume experiment, the two resumes sent to employers were identical except for...","the city of the employer","the job being applied for","the applicant's name (signaling perceived race)","the years of experience",20,3,,,,,,,,,,,,,,,,,,
20,"In the resume study, callbacks were about 10.08% for White-sounding names and about 6.70% for African-American-sounding names - a difference of about...","16.78 percentage points","0.67 percentage points","10.08 percentage points","3.38 percentage points",20,4,,,,,,,,,,,,,,,,,,
21,"Because employers were randomly assigned a name, a statistically significant difference in callback rates supports the conclusion that...","the name (the treatment) caused the difference in callbacks","the sample was biased","the difference was just chance","nothing can be concluded",20,1,,,,,,,,,,,,,,,,,,
22,"Random assignment in an experiment is what lets researchers make claims about...","the exact population total","cause and effect","the margin of error","a census",20,2,,,,,,,,,,,,,,,,,,
23,"To generalize an experiment's results to a larger population, the experimental units should be...","blocked on the response variable","assigned to treatments by the subjects themselves","randomly selected from that population so they are representative","all given the same treatment",20,3,,,,,,,,,,,,,,,,,,
24,"Cause-and-effect vs. generalization: random ASSIGNMENT allows ___, while random SELECTION allows ___.","blocking; blinding","replication; confounding","generalization; cause-and-effect","cause-and-effect conclusions; generalization to the population",20,4,,,,,,,,,,,,,,,,,,
25,"A larger number of experimental units (more replication) gives a better chance that...","the sample is representative and real effects are detectable","confounding is guaranteed","the p-value is exactly 0","the treatment will always work",20,1,,,,,,,,,,,,,,,,,,
26,"Researchers compare two medications and find a statistically significant difference in recovery times (p = 0.02). This means...","the sample was not random","a difference this large is unlikely to be due to chance alone","the difference was definitely due to chance","the medications are identical",20,2,,,,,,,,,,,,,,,,,,
27,"A statistically significant result from a randomized experiment is evidence that...","there was a confounding variable","the study cannot be trusted","the treatment caused the observed effect","the groups came from different populations",20,3,,,,,,,,,,,,,,,,,,
28,"Under what condition can an experiment's results be generalized to a larger population?","When the sample is very small","When there is no control group","When the treatment is applied to everyone","When the experimental units were randomly selected from that population",20,4,,,,,,,,,,,,,,,,,,
29,"Which type of study can establish cause and effect?","A well-designed randomized experiment","A voluntary-response survey","A census","An observational study",20,1,,,,,,,,,,,,,,,,,,
30,"An experiment used random assignment but did NOT randomly select subjects from a population. The researchers can...","do neither","conclude cause-and-effect but should NOT generalize to a broader population","generalize but not conclude cause-and-effect","do both freely",20,2,,,,,,,,,,,,,,,,,,
