"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What is a STRING in Python?","A sequence of characters enclosed in quotes","A whole number","A decimal number","A True/False value",20,1,,,,,,,,,,,,,,,,,,
2,"A sequence of characters like 'hello' or ""world"" is called a:","Integer","Float","String","Boolean",20,3,,,,,,,,,,,,,,,,,,
3,"How do you tell Python that something is a string?","Enclose it in quotation marks (single or double)","Put 'str' before it","Use the string keyword","Add .string after it",20,1,,,,,,,,,,,,,,,,,,
4,"Which of these is a valid string in Python?","'hello there'","hello there","hello.there","string(hello)",20,1,,,,,,,,,,,,,,,,,,
5,"What is STRING CONCATENATION?","Joining strings together using the + operator","Multiplying a string by a number","Comparing two strings","Converting a string to uppercase",20,1,,,,,,,,,,,,,,,,,,
6,"The + operator between two strings will:","Put them together (concatenate)","Add their lengths","Compare them alphabetically","Cause an error",20,1,,,,,,,,,,,,,,,,,,
7,"If hi = 'hello' and name = 'ana', what does hi + name produce?","'helloana' (no space between them)","'hello ana' (with a space)","'hello' + 'ana'","Error - can't add strings",20,1,,,,,,,,,,,,,,,,,,
8,"Why doesn't hi + name include a space between the words?","The + operator doesn't add spaces automatically","Python removes all spaces","Spaces aren't allowed in strings","The variable names are too short",20,1,,,,,,,,,,,,,,,,,,
9,"To add a space when concatenating strings, you must:","Manually include ' ' (space in quotes)","Use the ++ operator","Press spacebar twice","Use the space() function",20,1,,,,,,,,,,,,,,,,,,
10,"What does the * operator do between a string and a number?","Repeats the string that many times","Multiplies the character codes","Causes an error","Adds the number to each character",20,1,,,,,,,,,,,,,,,,,,
11,"What does 'ha' * 3 produce?","'hahaha'","'ha ha ha'","'ha3'","Error",20,1,,,,,,,,,,,,,,,,,,
12,"What does 'ab' * 2 produce?","'abab'","'ab ab'","'aabb'","'ab2'",20,1,,,,,,,,,,,,,,,,,,
13,"In print(), using COMMAS between values will:","Automatically add spaces between them","Remove all spaces","Cause an error","Join them without spaces",20,1,,,,,,,,,,,,,,,,,,
14,"What is an ADVANTAGE of using commas in print()?","Objects don't all have to be strings","It's faster to execute","It uses less memory","It looks cleaner",20,1,,,,,,,,,,,,,,,,,,
15,"What is a DISADVANTAGE of using commas in print()?","You get spaces everywhere automatically","It's slower","It only works with strings","It can't print numbers",20,1,,,,,,,,,,,,,,,,,,
16,"Using concatenation (+) in print() requires:","Everything to be a string","At least 3 values","Parentheses around each item","The print keyword twice",20,1,,,,,,,,,,,,,,,,,,
17,"What is the ADVANTAGE of using + in print()?","You have precise control over spacing","It's faster","It handles any type automatically","It adds line breaks",20,1,,,,,,,,,,,,,,,,,,
18,"What function do you use to get input from the user?","input()","read()","get()","scan()",20,1,,,,,,,,,,,,,,,,,,
19,"Whatever the user types into input() is always returned as a:","String","Integer","Float","Boolean",20,1,,,,,,,,,,,,,,,,,,
20,"If the user types 5 into input(), Python treats it as:","The string '5'","The integer 5","The float 5.0","The boolean True",20,1,,,,,,,,,,,,,,,,,,
21,"If text = input() and user types 'ha', what does 5 * text produce?","'hahahahaha' (ha repeated 5 times)","Error - can't multiply string by int","25","'ha5'",20,1,,,,,,,,,,,,,,,,,,
22,"If num = input() and user types 5, what does 5 * num produce?","'55555' (the string '5' repeated 5 times)","25","Error","'5 * 5'",20,1,,,,,,,,,,,,,,,,,,
23,"To do math with user input, you must:","Cast (convert) it to int or float","Use the math library","Put it in parentheses","Use double equals",20,1,,,,,,,,,,,,,,,,,,
24,"What does int(input('Enter: ')) do when user types 5?","Converts the string '5' to the integer 5","Prints 'Enter: 5'","Causes an error","Returns the string 'int5'",20,1,,,,,,,,,,,,,,,,,,
25,"If num = int(input()) and user types 5, what does 5 * num produce?","25","'55555'","Error","'5 * 5'",20,1,,,,,,,,,,,,,,,,,,
26,"Comparison operators return what type of value?","Boolean (True or False)","Integer","String","Float",20,1,,,,,,,,,,,,,,,,,,
27,"Which types can you compare with > or < in Python?","Ints with ints, floats with floats, strings with strings","Only integers","Only strings","Any type with any type",20,1,,,,,,,,,,,,,,,,,,
28,"Can you compare a string with a number using > in Python?","No - Python will give an error","Yes - it converts automatically","Yes - but only with ==","Only if the string is a digit",20,1,,,,,,,,,,,,,,,,,,
29,"What is the difference between = and == in Python?","= is assignment, == is equality test","= is equality, == is assignment","They are the same","= is for strings, == is for numbers",20,1,,,,,,,,,,,,,,,,,,
30,"The single = operator is used for:","Assignment (binding a value to a name)","Testing equality","Comparing two values","Mathematical equality",20,1,,,,,,,,,,,,,,,,,,
31,"The double == operator is used for:","Testing if two values are equal","Assignment","Mathematical operations","String concatenation",20,1,,,,,,,,,,,,,,,,,,
32,"What does != test for?","Inequality (not equal)","Assignment","Approximately equal","String comparison",20,1,,,,,,,,,,,,,,,,,,
33,"How are strings compared with > or <?","Lexicographically (alphabetical order)","By length","By memory address","They can't be compared",20,1,,,,,,,,,,,,,,,,,,
34,"Is 'a' > 'b' True or False?","False - 'a' comes before 'b' alphabetically","True - 'a' is greater","Error - can't compare strings","True - lowercase is greater",20,1,,,,,,,,,,,,,,,,,,
35,"What does the NOT operator do to a boolean?","Inverts it (True becomes False, False becomes True)","Doubles it","Converts to string","Returns None",20,1,,,,,,,,,,,,,,,,,,
36,"What does 'a AND b' return?","True only if BOTH a and b are True","True if either is True","True if both are False","Always True",20,1,,,,,,,,,,,,,,,,,,
37,"What does 'a OR b' return?","True if at least one is True (False only if both False)","True only if both are True","True only if both are False","Always False",20,1,,,,,,,,,,,,,,,,,,
38,"If a = True and b = False, what is 'a and b'?","False","True","Error","None",20,1,,,,,,,,,,,,,,,,,,
39,"If a = True and b = False, what is 'a or b'?","True","False","Error","None",20,1,,,,,,,,,,,,,,,,,,
40,"What is BRANCHING in programming?","Choosing different code paths based on conditions","Jumping to random lines of code","Stopping the program","Creating multiple files",20,1,,,,,,,,,,,,,,,,,,
41,"A simple IF statement executes its code block only if:","The condition is True","The condition is False","Always","Never",20,1,,,,,,,,,,,,,,,,,,
42,"What does IF-ELSE do?","Executes one block if True, another if False (never both)","Executes both blocks","Executes neither block","Loops until condition changes",20,1,,,,,,,,,,,,,,,,,,
43,"What does ELIF stand for?","Else if","Else loop if","Extended if","Either if",20,1,,,,,,,,,,,,,,,,,,
44,"In if-elif-else, if multiple conditions are True, which block runs?","Only the FIRST one that's True","All blocks that are True","The last one that's True","None of them",20,1,,,,,,,,,,,,,,,,,,
45,"How are CODE BLOCKS denoted in Python?","By indentation (typically 4 spaces)","By curly braces { }","By parentheses ( )","By square brackets [ ]",20,1,,,,,,,,,,,,,,,,,,
46,"What happens if you use = instead of == in an if condition?","Python gives a syntax error","Python assigns the variable","The condition is always True","Nothing - they work the same",20,1,,,,,,,,,,,,,,,,,,
47,"Why does 'if x = 5:' cause a syntax error?","Assignment (=) can't be used as a condition - need == for comparison","x is not defined","5 is not a valid value","The colon is wrong",20,1,,,,,,,,,,,,,,,,,,
48,"What is a WHILE LOOP?","Code that repeats as long as a condition is True","Code that runs exactly once","Code that never runs","Code that creates errors",20,1,,,,,,,,,,,,,,,,,,
49,"When does a while loop STOP?","When its condition becomes False","When you press a key","After 100 iterations","When memory runs out",20,1,,,,,,,,,,,,,,,,,,
50,"While loops are best used when:","You don't know how many iterations you'll need","You know exactly how many iterations","You want to count from 1 to 10","You need to sort data",20,1,,,,,,,,,,,,,,,,,,
51,"To use a counter with a while loop, you must:","Initialize it before the loop AND increment it inside","Only initialize it","Only increment it","Neither - counters aren't needed",20,1,,,,,,,,,,,,,,,,,,
52,"What happens if you forget to increment the counter in a while loop?","You get an infinite loop","The loop runs once","Python auto-increments","The loop doesn't run",20,1,,,,,,,,,,,,,,,,,,
53,"How do you stop an infinite loop in the console?","Press Control-C (or Ctrl+C)","Press Enter","Press Escape","Close the computer",20,1,,,,,,,,,,,,,,,,,,
54,"What is a FOR LOOP?","A loop that iterates over a sequence of values","A loop that runs forever","A loop that runs once","A loop for formatting",20,1,,,,,,,,,,,,,,,,,,
55,"For loops are best used when:","You KNOW how many iterations you need","You don't know the iteration count","You need user input","You want infinite repetition",20,1,,,,,,,,,,,,,,,,,,
56,"What does range(5) produce?","The sequence 0, 1, 2, 3, 4","The sequence 1, 2, 3, 4, 5","The sequence 0, 1, 2, 3, 4, 5","The number 5",20,1,,,,,,,,,,,,,,,,,,
57,"range(n) starts at ____ and ends at ____:","0 and n-1","1 and n","0 and n","1 and n-1",20,1,,,,,,,,,,,,,,,,,,
58,"What does range(7, 10) produce?","7, 8, 9","7, 8, 9, 10","0, 7, 10","8, 9, 10",20,1,,,,,,,,,,,,,,,,,,
59,"What does range(5, 11, 2) produce?","5, 7, 9 (every other number)","5, 6, 7, 8, 9, 10, 11","5, 7, 9, 11","5, 11, 2",20,1,,,,,,,,,,,,,,,,,,
60,"The values in range() must be:","Integers (not floats)","Floats (not integers)","Strings","Any numeric type",20,1,,,,,,,,,,,,,,,,,,
